,seq,time
0,th,127078800
1,he,127945800
2,es,445993600
3,sh,126186000
4,hu,1225016300
5,ut,505051800
6,tt,127061900
7,tl,126000300
8,le,375936500
9,er,506518700
10,re,63627200
11,ea,64030200
12,ac,254009100
13,ch,63978700
14,he,128075600
15,ed,251981500
16,dt,190520000
17,th,126941700
18,he,190124200
19,ei,571788800
20,ip,127922800
21,pl,253984600
22,ls,313069700
23,sa,501054300
24,at,190908500
25,te,127084700
26,el,190931000
27,ll,126055800
28,li,61998100
29,it,190929500
30,te,125014200
31,ei,126988000
32,in,189105700
33,no,312893600
34,on,188926300
35,nl,127638400
36,ly,125060700
37,ya,190027500
38,af,445054500
39,fe,125881900
40,ew,189234600
41,wh,314827600
42,ho,62972900
43,ou,191014100
44,ur,127029800
45,rs,191965300
46,si,318990500
47,in,63005300
48,nt,192011100
49,te,125978700
50,er,126011500
51,rp,188023700
52,pl,253970200
53,la,127997000
54,an,255053200
55,ne,125953700
56,et,254051100
57,ta,255956300
58,ar,191952300
59,ry,188040800
60,yl,314968700
61,la,190049700
62,ar,507990200
63,ru,381053000
64,un,252990600
65,nc,127018500
66,ch,126899700
67,hw,569998300
68,wa,63079200
69,as,189902300
70,sa,255053500
71,ac,758014100
72,ci,187897500
73,it,191069700
74,ty,124992100
75,yo,192073800
76,of,189990500
77,ft,251943400
78,th,128060700
79,hr,191037400
80,re,127469500
81,ee,191100200
82,et,190855300
83,th,128133800
84,ho,63996500
85,ou,127979600
86,us,254523300
87,sa,127038700
88,an,189977200
89,nd,127085700
90,di,252868100
91,in,124075700
92,nh,249953000
93,ha,63015500
94,ag,319991100
95,gi,126061300
96,it,440981900
97,ta,127044100
98,an,127846900
99,nt,191066500
100,ts,253968300
101,sb,1010015200
102,br,254152700
103,re,63846500
104,ea,126964900
105,ag,250149300
106,gi,124916500
107,in,127104200
108,ng,254854500
109,go,952089400
110,ox,316945800
111,xy,190975500
112,yg,319040100
113,ge,127078400
114,en,127005300
115,nf,313891400
116,fr,191052600
117,ro,63962900
118,om,62008500
119,mt,184944300
120,th,127062100
121,he,124567300
122,ep,191940500
123,pl,190029800
124,la,126967100
125,at,255034500
126,tn,128028600
127,nt,1147972400
128,th,127036200
129,ha,127948700
130,at,123994400
131,ta,315074300
132,al,62914000
133,ls,313977100
134,so,249090900
135,of,441126500
136,fe,251811800
137,ed,191012800
138,dt,191024700
