,seq,time
0,blo,432035300
1,loo,246604200
2,ood,438726000
3, ,0
4,fat,438113800
5, ,0
6,set,374612100
7, ,0
8,lad,560427000
9,ady,560730200
10, ,0
11,cas,434726700
12,ase,310161400
13, ,0
14,cov,805827800
15,ove,683390900
16,ver,309778800
17, ,0
18,cat,434548400
19,atc,496637400
20,tch,439060300
21, ,0
22,sim,564219600
23,imi,377605400
24,mil,744241600
25,ila,991290000
26,lar,619752200
27, ,0
28,jus,556568900
29,ust,557041700
30, ,0
31,hel,623132700
32,elp,433568800
33, ,0
34,eac,433058700
35,ach,435372200
36, ,0
37,wee,311990800
38,eek,436835100
39, ,0
40,sin,803300100
41,ing,1051074600
42,ngl,743066400
43,gle,559683700
44, ,0
45,yes,430032500
46, ,0
47,bui,436830600
48,uil,312338400
49,ild,499500900
50, ,0
51,eat,372146300
52, ,0
53,for,560160800
54,orm,561729300
55, ,0
56,dif,499129400
57,iff,373727100
58,ffe,249217200
59,fer,309406300
60, ,0
61,pro,559464500
62,rod,558382700
63,odu,496180100
64,duc,991307700
65,uce,1051660600
66, ,0
67,wat,561057200
68,ate,436911900
69,ter,373879800
70, ,0
71,yel,558488700
72,ell,435424500
73,llo,249638400
74,low,373418700
75, ,0
76,boa,622669700
77,oat,620650900
78, ,0
79,lon,373381400
80,ong,560850900
81, ,0
82,foo,374844600
83,oot,435594900
84, ,0
85,equ,435233100
86,qua,497150400
87,uat,498289600
88,ate,437165500
89, ,0
90,bat,558572800
91, ,0
92,num,558823300
93,umb,557261200
94,mbe,556472300
95,ber,370437100
96, ,0
97,wro,810209000
98,rot,495332800
99,ote,433616900
100, ,0
101,hea,435969800
102,eat,434827900
103, ,0
104,dis,558188900
105,ist,496516200
106,sta,435949000
107,tan,496783700
108,ant,494031100
109, ,0
110,flo,374911700
111,low,437245500
112, ,0
113,gro,434017500
114,row,560892200
115, ,0
116,sta,495098200
117,tat,494050100
118,ate,432939800
119, ,0
120,doc,618816700
121,oct,742714900
122,cto,680557000
123,tor,557359500
124, ,0
125,gue,558579800
