,seq,time
0,bl,309014200
1,lo,123021100
2,oo,123583100
3,od,315142900
4, ,0
5,fa,187463700
6,at,250650100
7, ,0
8,se,187288600
9,et,187323500
10, ,0
11,la,310852100
12,ad,249574900
13,dy,311155300
14, ,0
15,ca,249335200
16,as,185391500
17,se,124769900
18, ,0
19,co,308154400
20,ov,497673400
21,ve,185717500
22,er,124061300
23, ,0
24,ca,186774200
25,at,247774200
26,tc,248863200
27,ch,190197100
28, ,0
29,si,312531600
30,im,251688000
31,mi,125917400
32,il,618324200
33,la,372965800
34,ar,246786400
35, ,0
36,ju,247544700
37,us,309024200
38,st,248017500
39, ,0
40,he,312831600
41,el,310301100
42,lp,123267700
43, ,0
44,ea,247287000
45,ac,185771700
46,ch,249600500
47, ,0
48,we,185938300
49,ee,126052500
50,ek,310782600
51, ,0
52,si,248324800
53,in,554975300
54,ng,496099300
55,gl,246967100
56,le,312716600
57, ,0
58,ye,245994600
59,es,184037900
60, ,0
61,bu,310787500
62,ui,126043100
63,il,186295300
64,ld,313205600
65, ,0
66,ea,123030100
67,at,249116200
68, ,0
69,fo,309465900
70,or,250694900
71,rm,311034400
72, ,0
73,di,250022000
74,if,249107400
75,ff,124619700
76,fe,124597500
77,er,184808800
78, ,0
79,pr,248421700
80,ro,311042800
81,od,247339900
82,du,248840200
83,uc,742467500
84,ce,309193100
85, ,0
86,wa,311170000
87,at,249887200
88,te,187024700
89,er,186855100
90, ,0
91,ye,247171800
92,el,311316900
93,ll,124107600
94,lo,125530800
95,ow,247887900
96, ,0
97,bo,250385700
98,oa,372284000
99,at,248366900
100, ,0
101,lo,123774200
102,on,249607200
103,ng,311243700
104, ,0
105,fo,250812200
106,oo,124032400
107,ot,311562500
108, ,0
109,eq,187117100
110,qu,248116000
111,ua,249034400
112,at,249255200
113,te,187910300
114, ,0
115,ba,310960900
116,at,247611900
117, ,0
118,nu,310192800
119,um,248630500
120,mb,308630700
121,be,247841600
122,er,122595500
123, ,0
124,wr,561800000
125,ro,248409000
126,ot,246923800
127,te,186693100
128, ,0
129,he,311215100
130,ea,124754700
131,at,310073200
132, ,0
133,di,310402500
134,is,247786400
135,st,248729800
136,ta,187219200
137,an,309564500
138,nt,184466600
139, ,0
140,fl,249922600
141,lo,124989100
142,ow,312256400
143, ,0
144,gr,185773400
145,ro,248244100
146,ow,312648100
147, ,0
148,st,248350900
149,ta,246747300
150,at,247302800
151,te,185637000
152, ,0
153,do,310632900
154,oc,308183800
155,ct,434531100
156,to,246025900
157,or,311333600
158, ,0
159,gu,311266400
160,ue,247313400
161,es,184780200
162,ss,124248000
163, ,0
164,co,372591500
165,om,187199900
166,mp,248859500
167,pa,371907200
168,an,372729700
169,ny,247056600
170, ,0
171,sh,309966500
172,ho,187712500
173,ou,247993200
174,ul,436735500
175,ld,375443300
176,de,124345900
177,er,185429200
178, ,0
179,st,188764000
180,tr,124473800
181,ri,250794100
182,in,248414700
183,ng,185926100
184, ,0
185,ma,247906800
186,ap,433394800
187, ,0
188,jo,249127300
189,oy,371657000
190, ,0
191,sp,372473500
192,pr,309596700
193,ri,308198700
194,in,625332700
195,ng,187599400
196, ,0
197,fe,184305800
198,ea,185170500
199,ar,186950600
200, ,0
201,cu,308408000
202,ut,247213300
203, ,0
204,th,186389400
205,hi,187282100
206,ic,808941800
207,ck,436632200
208, ,0
209,pu,249852400
210,ul,309342200
211,ll,184201600
212, ,0
213,ch,248442000
214,ha,373881000
215,ar,250798700
216,rt,124566600
217, ,0
218,fa,248799800
219,ar,249378700
220, ,0
221,sp,312767600
222,pa,308532300
223,ac,248250300
224,ce,122568400
225, ,0
226,us,310200200
227,se,186441400
228, ,0
229,se,62463500
230,en,868770500
231,ns,809920500
232,se,185755400
233, ,0
234,de,185331200
235,es,124076000
236,se,185432500
237,er,1367894800
238,rt,122367800
239, ,0
240,ge,249046000
241,en,370678100
242,ne,311758000
243,er,309779500
244,ra,248502300
245,al,435966900
246, ,0
247,pr,308940200
248,ro,310923000
249,od,248523600
250,du,309803200
251,uc,307438300
252,ct,310381300
253, ,0
254,ca,184883100
255,an,431519800
256, ,0
257,fa,249065000
258,ac,249544800
259,ct,249014400
260, ,0
261,jo,247248000
262,ob,373034200
263, ,0
264,fe,247231700
265,ee,124606600
266,et,249132600
267, ,0
268,sm,373230500
269,ma,372758300
270,al,434907900
271,ll,62742100
272, ,0
273,wa,185558200
274,ai,311109900
275,it,188265200
276, ,0
277,ri,312055700
278,ig,251131200
279,gh,123401200
280,ht,186461700
281, ,0
282,ma,372661000
283,at,311789000
284,te,125767900
285,er,186333900
286,ri,311564000
287,ia,310048900
288,al,1552773600
289, ,0
290,gr,185557500
291,re,623301500
292,ea,185738000
293,at,247711600
294, ,0
295,mi,247761600
296,il,187111700
297,ll,124443500
298,li,187476800
299,io,123615800
300,on,616660400
301, ,0
302,ha,622819100
303,ai,557448400
304,ir,311387600
305, ,0
306,fo,249636500
307,ol,184774100
308,ll,126470900
309,lo,187054400
310,ow,310465000
311, ,0
312,sc,498683900
313,co,311453600
314,or,373661500
315,re,124510600
316, ,0
317,co,372003300
318,on,248026100
319,nt,496541300
320,ta,189595500
321,ai,373448500
322,in,244738500
323, ,0
324,pr,309226600
325,ro,434832100
326,op,124389400
327,pe,311662000
