,seq,time
0,tru,248771400
1,rue,249375700
2, ,0
3,thi,124971100
4,hin,186033500
5, ,0
6,ide,325984600
7,dea,248226600
8, ,0
9,cit,251668600
10,ity,187271200
11, ,0
12,roo,187105900
13,oot,186800500
14, ,0
15,ear,184334900
16,art,682719200
17,rth,685123500
18, ,0
19,fam,251778300
20,ami,312564100
21,mil,310677100
22,ily,372074900
23, ,0
24,pro,871435200
25,rod,1370851000
26,odu,808442700
27,duc,247642300
28,uce,311392700
29, ,0
30,met,248955000
31,eta,250357800
32,tal,188182300
33, ,0
34,she,186170700
35,hel,372941100
36,ell,434237400
37, ,0
38,tub,681612800
39,ube,620939100
40, ,0
41,hea,123683200
42,ead,306646300
43, ,0
44,dri,247395500
45,rin,559122600
46,ink,561699800
47, ,0
48,amo,125067600
49,mon,250015100
50,ong,310611600
51, ,0
52,pra,248632300
53,rac,311595400
54,act,436081500
55,cti,249023800
56,tic,375004800
57,ice,562881900
58, ,0
59,but,250605300
60, ,0
61,wat,246388100
62,atc,372711500
63,tch,372635400
64, ,0
65,far,251685000
66, ,0
67,mak,186127600
68,ake,184205800
69, ,0
70,led,310475800
71, ,0
72,sec,373561000
73,eco,373314000
74,con,187358000
75,ond,311223200
76, ,0
77,bes,186640000
78,est,309794400
79, ,0
80,nea,185244700
81,ear,186545500
82, ,0
83,cer,312951100
84,ert,312408400
85,rta,311106600
86,tai,247412400
87,ain,247978600
88, ,0
89,dra,623948700
90,raw,559698100
91, ,0
92,tie,251715800
93, ,0
94,pro,187854200
95,rot,494839700
96,ote,618622200
97,tec,431252400
98,ect,493017500
99, ,0
100,sky,250666300
101, ,0
102,pos,189700700
103,ost,250628100
104, ,0
105,doc,184059500
106,oct,496206600
107,cto,872795300
108,tor,747575300
109, ,0
110,sit,248483800
111, ,0
112,and,809871200
113, ,0
114,bro,371988000
115,rot,309342500
116,oth,371735300
117,the,310712100
118,her,249587500
119, ,0
120,ins,310913700
121,nst,311059900
122,str,372425800
123,tru,312079400
124,rum,313813400
125,ume,312088500
126,men,248118200
127,ent,123681200
128, ,0
129,oil,622665900
130, ,0
131,won,188346600
132,ond,186031500
133,nde,309989500
134,der,247148800
135, ,0
136,ver,249257200
137,ery,309879200
138, ,0
139,dou,124910700
140,oub,370460000
141,ubl,432262800
142,ble,186450300
143, ,0
144,dee,311645000
145,eep,249700000
146, ,0
147,mil,313449600
148,ill,376380100
149,lli,247934100
150,lio,307960700
151,ion,308093300
152, ,0
153,sys,185418700
154,yst,186432000
155,ste,247524400
156,tem,248538600
157, ,0
158,not,247351200
159,oti,311992100
160,tic,685293600
161,ice,744627500
162, ,0
163,all,251749400
164, ,0
165,exa,370396000
166,xam,247906600
167,amp,187557900
168,mpl,250403800
169,ple,250769800
170, ,0
171,mas,187296600
172,ast,311755800
173,ste,311040400
174,ter,187334400
175, ,0
176,cou,124040100
177,oun,311462600
178,unt,312350300
179,ntr,252491400
180,try,313894000
181, ,0
182,swi,372725000
183,wim,804872500
184, ,0
185,dec,371536300
186,eci,308277700
187,cim,308967000
188,ima,309778300
189,mal,185724700
190, ,0
191,ord,310445500
192,rde,374469400
193,der,250431300
194, ,0
195,edg,371600700
196,dge,248579600
197, ,0
198,sof,187573500
199,oft,434980700
200, ,0
201,loc,310517600
202,oca,188578400
203,cat,187538800
204,ate,250628700
205, ,0
206,tho,803526100
207,hou,618423500
208,oug,372479500
209,ugh,312118600
210, ,0
211,thi,187293200
212,hir,248118600
213,ird,746051900
214, ,0
215,ope,249563400
216,per,311017900
217,era,309184700
218,rat,309604200
219,ate,186594700
220, ,0
221,box,249452000
222, ,0
223,his,186532400
224,ist,247856800
225,sto,249365100
226,tor,125430600
227,ory,187446000
228, ,0
229,tim,63420200
230,ime,187141100
231, ,0
232,als,1183527100
233,lso,187246900
234, ,0
235,act,376414200
236, ,0
237,pag,185264400
238,age,246644600
239, ,0
240,spe,248209400
241,pel,249409000
242,ell,312903700
243, ,0
244,she,187050400
245, ,0
246,mol,249861700
247,ole,312031600
248,lec,374194800
249,ecu,374277100
250,cul,311445400
251,ule,249564800
252, ,0
253,eng,311705400
254,ngi,311611400
255,gin,187512000
256,ine,187852700
257, ,0
258,seg,310041700
259,egm,560676600
260,gme,437538200
261,men,310825300
262,ent,372573800
263, ,0
264,con,186515000
265,ont,248427300
266,ntr,250424400
267,tro,249220500
268,rol,248181400
269, ,0
270,fas,186324600
271,ast,310847700
272, ,0
273,blo,559274300
274,low,247333500
275, ,0
276,any,246312000
277, ,0
278,sho,124833600
279,hor,245579300
280,ore,246663500
281, ,0
282,rep,183944300
283,epe,310712200
284,pea,250133700
285,eat,189087400
286, ,0
287,eve,246710500
288,ven,310329600
289,eni,371455000
290,nin,245568600
291,ing,186749400
292, ,0
293,sol,248977100
294,olv,248176000
295,lve,123011000
296, ,0
297,beg,313309200
298,egi,312749500
299,gin,185525400
300, ,0
301,kil,373269200
302,ill,309333400
303, ,0
304,hea,248937800
305,ear,186871900
306,ard,434784700
307, ,0
308,wat,249308800
309,ate,246918200
310,ter,248254900
311, ,0
312,rep,249716000
313,epr,308811600
314,pre,184737800
315,res,373981800
316,ese,435466400
317,sen,186988900
318,ent,186386800
319, ,0
320,col,249574800
321,oll,310858400
322,lle,185542500
323,lec,247320500
324,ect,373478300
325, ,0
326,fig,312672000
327,igh,434421700
328,ght,933005100
329, ,0
330,fai,312443300
331,air,250112000
332, ,0
333,sea,250624700
334, ,0
335,moo,373075300
336,oon,249380600
337, ,0
338,coa,248410700
339,oat,312387400
340, ,0
341,hea,185949300
342,ear,187950000
343,art,311131800
344, ,0
345,gra,309669400
346,ran,248588600
347,and,246989400
348, ,0
349,mar,185236400
350,ark,249057700
351,rke,248721000
352,ket,246888600
353, ,0
354,fol,808511600
355,oll,312727400
356,llo,312911700
357,low,374859500
358, ,0
359,mor,307380500
360,ore,309014100
361, ,0
362,fin,183057100
363,ing,248392300
364,nge,250652000
365,ger,187795300
366, ,0
367,sto,498667000
368,top,373589500
369, ,0
370,col,619088900
371,olu,749810600
372,lum,498603400
373,umn,436504000
374, ,0
375,pla,311290500
376,lan,249060500
377, ,0
378,con,186425900
379,ont,310226500
380,nta,187063300
381,tai,125317400
382,ain,248175600
383, ,0
384,wil,188349300
385,ild,311490200
386, ,0
387,bir,250846600
388,ird,313998100
389, ,0
390,sho,186673900
391,hop,247225300
392, ,0
393,sim,435694000
394,imp,309022400
395,mpl,310425600
396,ple,312277800
397, ,0
398,pla,313896100
399,lan,248271200
400,ane,246694800
401, ,0
