,seq,time
0,tr,123736600
1,ru,125034800
2,ue,124340900
3, ,0
4,th,62782400
5,hi,62188700
6,in,123844800
7, ,0
8,id,140508700
9,de,185475900
10,ea,62750700
11, ,0
12,ci,126169300
13,it,125499300
14,ty,61771900
15, ,0
16,ro,62718600
17,oo,124387300
18,ot,62413200
19, ,0
20,ea,61616000
21,ar,122718900
22,rt,560000300
23,th,125123200
24, ,0
25,fa,62678600
26,am,189099700
27,mi,123464400
28,il,187212700
29,ly,184862200
30, ,0
31,pr,185147800
32,ro,686287400
33,od,684563600
34,du,123879100
35,uc,123763200
36,ce,187629500
37, ,0
38,me,125548000
39,et,123407000
40,ta,126950800
41,al,61231500
42, ,0
43,sh,61094800
44,he,125075900
45,el,247865200
46,ll,186372200
47, ,0
48,tu,122949100
49,ub,558663700
50,be,62275400
51, ,0
52,he,62569500
53,ea,61113700
54,ad,245532600
55, ,0
56,dr,124367700
57,ri,123027800
58,in,436094800
59,nk,125605000
60, ,0
61,am,62028200
62,mo,63039400
63,on,186975700
64,ng,123635900
65, ,0
66,pr,185951700
67,ra,62680600
68,ac,248914800
69,ct,187166700
70,ti,61857100
71,ic,313147700
72,ce,249734200
73, ,0
74,bu,62397400
75,ut,188207900
76, ,0
77,wa,122477700
78,at,123910400
79,tc,248801100
80,ch,123834300
81, ,0
82,fa,125872000
83,ar,125813000
84, ,0
85,ma,125321000
86,ak,60806600
87,ke,123399200
88, ,0
89,le,63332600
90,ed,247143200
91, ,0
92,se,62513700
93,ec,311047300
94,co,62266700
95,on,125091300
96,nd,186131900
97, ,0
98,be,62987900
99,es,123652100
100,st,186142300
101, ,0
102,ne,123878600
103,ea,61366100
104,ar,125179400
105, ,0
106,ce,248833200
107,er,64117900
108,rt,248290500
109,ta,62816100
110,ai,184596300
111,in,63382300
112, ,0
113,dr,188410000
114,ra,435538700
115,aw,124159400
116, ,0
117,ti,126330500
118,ie,125385300
119, ,0
120,pr,125941900
121,ro,61912300
122,ot,432927400
123,te,185694800
124,ec,245557600
125,ct,247459900
126, ,0
127,sk,63115200
128,ky,187551100
129, ,0
130,po,61874500
131,os,127826200
132,st,122801900
133, ,0
134,do,60893200
135,oc,123166300
136,ct,373040300
137,to,499755000
138,or,247820300
139, ,0
140,si,123646600
141,it,124837200
142, ,0
143,an,685955400
144,nd,123915800
145, ,0
146,br,248011000
147,ro,123977000
148,ot,185365500
149,th,186369800
150,he,124342300
151,er,125245200
152, ,0
153,in,186789900
154,ns,124123800
155,st,186936100
156,tr,185489700
157,ru,126589700
158,um,187223700
159,me,124864800
160,en,123253400
161,nt,427800
162, ,0
163,oi,187366500
164,il,435299400
165, ,0
166,wo,126269000
167,on,62077600
168,nd,123953900
169,de,186035600
170,er,61113200
171, ,0
172,ve,124644300
173,er,124612900
174,ry,185266300
175, ,0
176,do,62306800
177,ou,62603900
178,ub,307856100
179,bl,124406700
180,le,62043600
181, ,0
182,de,187944500
183,ee,123700500
184,ep,125999500
185, ,0
186,mi,62091300
187,il,251358300
188,ll,125021800
189,li,122912300
190,io,185048400
191,on,123044900
192, ,0
193,sy,122979700
194,ys,62439000
195,st,123993000
196,te,123531400
197,em,125007200
198, ,0
199,no,122729800
200,ot,124621400
201,ti,187370700
202,ic,497922900
203,ce,246704600
204, ,0
205,al,125880800
206,ll,125868600
207, ,0
208,ex,185236500
209,xa,185159500
210,am,62747100
211,mp,124810800
212,pl,125593000
213,le,125176800
214, ,0
215,ma,62140000
216,as,125156600
217,st,186599200
218,te,124441200
219,er,62893200
220, ,0
221,co,61902100
222,ou,62138000
223,un,249324600
224,nt,63025700
225,tr,189465700
226,ry,124428300
227, ,0
228,sw,187521700
229,wi,185203300
230,im,619669200
231, ,0
232,de,185711200
233,ec,185825100
234,ci,122452600
235,im,186514400
236,ma,123263900
237,al,62460800
238, ,0
239,or,124719600
240,rd,185725900
241,de,188743500
242,er,61687800
243, ,0
244,ed,185517000
245,dg,186083700
246,ge,62495900
247, ,0
248,so,63939100
249,of,123634400
250,ft,311346300
251, ,0
252,lo,185305800
253,oc,125211800
254,ca,63366600
255,at,124172200
256,te,126456500
257, ,0
258,th,309410900
259,ho,494115200
260,ou,124308300
261,ug,248171200
262,gh,63947400
263, ,0
264,th,125700300
265,hi,61592900
266,ir,186525700
267,rd,559526200
268, ,0
269,op,62481700
270,pe,187081700
271,er,123936200
272,ra,185248500
273,at,124355700
274,te,62239000
275, ,0
276,bo,62680700
277,ox,186771300
278, ,0
279,hi,62930700
280,is,123601700
281,st,124255100
282,to,125110000
283,or,320600
284,ry,187125400
285, ,0
286,ti,307100
287,im,63113100
288,me,124028000
289, ,0
290,al,1058838600
291,ls,124688500
292,so,62558400
293, ,0
294,ac,186923200
295,ct,189491000
296, ,0
297,pa,279300
298,ag,184985100
299,ge,61659500
300, ,0
301,sp,185701500
302,pe,62507900
303,el,186901100
304,ll,126002600
305, ,0
306,sh,124515800
307,he,62534600
308, ,0
309,mo,62119000
310,ol,187742700
311,le,124288900
312,ec,249905900
313,cu,124371200
314,ul,187074200
315,le,62490600
316, ,0
317,en,125029600
318,ng,186675800
319,gi,124935600
320,in,62576400
321,ne,125276300
322, ,0
323,se,63007500
324,eg,247034200
325,gm,313642400
326,me,123895800
327,en,186929500
328,nt,185644300
329, ,0
330,co,63042600
331,on,123472400
332,nt,124954900
333,tr,125469500
334,ro,123751000
335,ol,124430400
336, ,0
337,fa,63028800
338,as,123295800
339,st,187551900
340, ,0
341,bl,434541600
342,lo,124732700
343,ow,122600800
344, ,0
345,an,60606900
346,ny,185705100
347, ,0
348,sh,64039300
349,ho,60794300
350,or,184785000
351,re,61878500
352, ,0
353,re,60823300
354,ep,123121000
355,pe,187591200
356,ea,62542500
357,at,126544900
358, ,0
359,ev,185211400
360,ve,61499100
361,en,248830500
362,ni,122624500
363,in,122944100
364,ng,63805300
365, ,0
366,so,62339600
367,ol,186637500
368,lv,61538500
369,ve,61472500
370, ,0
371,be,124829100
