,seq,time
0,pr,312828900
1,ro,311508400
2,oc,248483600
3,ce,248951500
4,es,124978800
5,ss,185796400
6, ,0
7,wa,183873100
8,al,311060500
9,ll,125054700
10, ,0
11,hi,186094500
12,is,249178400
13, ,0
14,wh,437358100
15,ho,247842000
16,os,248688300
17,se,186590300
18, ,0
19,be,248655900
20,el,367823600
21,ll,120537600
22, ,0
23,gu,185823500
24,ue,250676500
25,es,187924400
26,ss,123603100
27, ,0
28,sl,371507900
29,le,311488200
30,ee,2067537700
31,ep,434584200
32, ,0
33,bu,313633700
34,ur,187741000
35,rn,373324900
36, ,0
37,fu,309625600
38,un,247692700
39, ,0
40,hi,310004200
41,im,185474400
42, ,0
43,lo,123149000
44,og,310918700
45, ,0
46,wa,125030500
47,at,312671600
48,te,186804900
49,er,124511800
50, ,0
51,mi,125221900
52,in,188337500
53,ne,251252400
54, ,0
55,po,188001200
56,ou,618385000
57,un,247795200
58,nd,311245900
59, ,0
60,di,247932900
61,is,310162100
62,st,253451900
63,ta,186881400
64,an,377926100
65,nt,246087500
66, ,0
67,tr,185574100
68,ra,189780600
69,ac,247452500
70,ck,311096400
71, ,0
72,to,311057900
73,oo,61752400
74, ,0
75,ne,248070900
76,ev,247542400
77,ve,186837200
78,er,125150200
79, ,0
80,co,312917200
81,on,246144600
82,nt,247832300
83,ti,248536100
84,in,248525800
85,ne,312065400
86,en,187040800
87,nt,1800987900
88, ,0
89,of,247706500
90,ff,125030700
91,fi,249162800
92,ic,247500500
93,ce,187482000
94, ,0
95,sp,375303400
96,pe,436531200
97,ee,123927900
98,ec,1114059300
99,ch,248571200
100, ,0
101,pa,373767500
102,at,310005800
103,th,124008100
104, ,0
105,ac,187076600
106,ct,311888000
107, ,0
108,mi,248214000
109,il,126163600
110,le,313618000
111, ,0
112,in,249902100
113,nc,246699200
114,ch,246771200
115, ,0
116,ri,310138000
117,ic,246932700
118,ch,247513500
119, ,0
120,an,379982900
121,nd,244975300
122, ,0
123,ag,372759200
124,go,310442900
125, ,0
126,do,373123100
127,oe,312489700
128,es,123359900
129, ,0
130,dr,185883300
131,ri,185894400
132,in,184519900
133,nk,186652200
134, ,0
135,fo,248640000
136,or,307865400
137,re,123829700
138,es,186499100
139,st,186394700
140, ,0
141,no,186660000
142,os,311533400
143,se,124275200
144, ,0
145,si,372889400
146,ig,249648700
147,gh,124495300
148,ht,185881900
149, ,0
150,se,122853800
151,en,310269000
152,nt,3113400600
153,te,186583300
154,en,371014100
155,nc,250216400
