,seq,time
0,te,62447300
1,el,123930600
2,ll,63442000
3, ,0
4,fi,61365200
5,in,123669500
6,nd,62699000
7, ,0
8,no,61309600
9,ot,126087000
10,th,62449700
11,hi,124292000
12,in,124837800
13,ng,61929600
14, ,0
15,ru,125766200
16,un,185409900
17, ,0
18,to,63074800
19,ot,123847000
20,ta,62277800
21,al,61492000
22, ,0
23,re,62006400
24,ep,124391300
25,pr,123009600
26,re,62185700
27,es,190937500
28,se,63933300
29,en,125169900
30,nt,124206400
31, ,0
32,hu,185383000
33,um,124932300
34,ma,60975100
35,an,123990400
36, ,0
37,de,185890300
38,es,1057199700
39,sc,624369300
40,cr,122876100
41,ri,122574700
42,ib,555897100
43,be,62523300
44, ,0
45,wh,61784100
46,hy,185962100
47, ,0
48,st,185705200
49,te,124963700
50,ea,62593400
51,am,186120300
52, ,0
53,gr,186904100
54,ro,63458600
55,ou,61345000
56,un,186832700
57,nd,63015000
58, ,0
59,sp,186086000
60,po,186048500
61,ok,1989437800
62,ke,869278200
63, ,0
64,ro,62500700
65,oo,186206200
66,om,126010800
67, ,0
68,bo,61766300
69,od,125314500
70,dy,61268600
71, ,0
72,so,123606700
73,om,62797500
74,me,125318300
75, ,0
76,ca,61746100
77,ap,61975700
78,pt,186105000
79,ta,123604200
80,ai,62450400
81,in,61866900
82, ,0
83,ob,124100600
84,bj,186325200
85,je,123631400
86,ec,185518200
87,ct,186163700
88, ,0
89,ma,122999200
90,as,61691900
91,ss,186328000
92, ,0
93,ha,125003700
94,ai,124610600
95,ir,185602600
96, ,0
97,ma,62130900
98,ak,62639100
99,ke,186451200
100, ,0
101,an,497076600
102,ng,125336500
103,ge,62357800
104,er,186581100
105, ,0
106,wi,61017100
107,if,2114272500
108,fe,1870740100
109, ,0
110,we,1857458400
111,ea,246705300
112,at,434829100
113,th,558927000
114,he,124084300
115,er,126132500
116, ,0
117,dr,124773600
118,ry,186565100
119, ,0
120,ba,127561500
121,at,124818100
122, ,0
123,fr,186795100
124,re,123556600
125,ee,189030400
126, ,0
127,ti,125400600
128,in,127252600
129,ny,188865200
130, ,0
131,he,124215000
132,ea,338100
133,ad,432472600
134, ,0
135,se,62626700
136,el,186985800
137,ll,124716100
138, ,0
139,go,124251000
140,ov,186300800
141,ve,123103100
142,er,123922600
143,rn,124312500
144, ,0
145,fo,124577300
146,ou,62996200
147,un,185788000
148,nd,62315300
149, ,0
150,sm,124673700
151,ma,126249900
152,al,61410500
153,ll,125826800
154, ,0
155,le,126022700
156,ea,62495300
157,as,123059100
158,st,494129500
159, ,0
160,ba,63615700
161,an,622063300
162,nk,60733200
163, ,0
164,se,63558300
165,er,378964900
166,rv,313327200
167,ve,61522300
168, ,0
169,hi,125492300
170,it,61342800
171, ,0
172,fe,61572700
173,el,189113100
174,lt,61684500
175, ,0
176,co,61977100
177,ou,62679700
178,ur,124004900
179,rs,186825400
180,se,124353600
181, ,0
182,sh,61380600
183,ho,62616100
184,ou,123928000
185,ul,123406500
186,ld,123431700
187, ,0
188,in,125413700
189,nc,188717000
190,ch,125110700
191, ,0
192,pa,124952900
193,ar,124803800
194,ra,186509700
195,ag,374552300
196,gr,248691200
197,ra,62332200
198,ap,311315900
199,ph,187864400
200, ,0
201,be,63999800
202,el,124176900
203,ll,122379500
204, ,0
205,fi,62589700
206,in,184609400
207,na,122488500
208,al,61767400
209, ,0
210,re,62124200
211,es,62986800
212,st,185626800
213, ,0
214,ca,125637700
215,as,124288700
216,se,185438400
217, ,0
218,pl,186846700
219,la,124413900
220,an,61623700
221, ,0
222,sh,62988000
223,hi,313001100
224,ip,122987500
225, ,0
226,to,62890800
227,og,185909300
228,ge,186807800
229,et,187105600
230,th,125582200
231,he,124363800
232,er,62038500
233, ,0
234,su,124174900
235,uf,124829900
236,ff,123105900
237,fi,123313200
238,ix,124759100
239, ,0
240,hu,187791300
241,ur,125530800
242,rr,187833700
243,ry,124672800
244, ,0
245,ta,61919400
246,al,123107000
247,ll,124232400
248, ,0
249,wh,184503700
250,ha,63541300
251,at,250074000
252, ,0
253,ye,187222400
254,es,247360700
255, ,0
256,ce,247397500
257,en,384300
258,nt,124402200
259, ,0
260,fi,63108700
261,in,125055300
262,ng,123962900
263,ge,124817100
264,er,126235200
265, ,0
266,co,62942000
267,ol,185496500
268,lo,124157800
269,or,60694500
270, ,0
271,sl,61812000
272,lo,125305100
273,ow,62484500
274, ,0
275,ag,188038700
276,ga,122865100
277,ai,326300
278,in,185268300
279,ns,125592800
280,st,372597200
281, ,0
282,se,61015400
283,en,124430500
284,nt,125972300
285,te,62170300
286,en,185194700
287,nc,127946900
288,ce,185916800
289, ,0
290,el,1861852100
291,le,124589300
292,ec,250082000
293,ct,187095300
294,tr,307526700
295,ri,123675400
296,ic,185258400
297, ,0
298,su,124774100
299,ub,187278500
300,bt,310974900
301,tr,187065100
302,ra,185873200
303,ac,187471900
304,ct,122668700
305, ,0
306,su,124196700
307,ur,125046700
308,rf,311604900
309,fa,62427800
310,ac,248347500
311,ce,187734200
312, ,0
313,ha,123459300
314,av,60862200
315,ve,124783500
316, ,0
317,la,331000
318,ay,124962000
319, ,0
320,sk,64026200
321,ki,185592300
322,in,123638700
323, ,0
324,si,185263000
325,il,62687700
326,le,310440700
327,en,124587800
328,nt,123579200
329, ,0
330,ab,128417900
331,bo,121168300
332,ov,558157500
333,ve,124977600
334, ,0
335,si,62725000
336,im,186364000
337,mp,124629700
338,pl,185484100
339,le,62111300
340, ,0
341,su,61958900
342,ub,123629300
343,bs,248311200
344,st,184502400
345,ta,123973600
346,an,438750600
347,nc,126048700
348,ce,310907200
349, ,0
350,sk,123859200
351,ky,248842700
352, ,0
353,bu,63153500
354,ui,61789200
355,il,61941900
356,ld,187404900
357, ,0
358,sc,185957700
359,ca,125422800
360,al,61489400
361,le,124281500
362, ,0
363,fa,124077100
364,al,121909700
365,ll,123891600
366, ,0
367,ki,1302390500
368,il,246866700
369,ll,125416600
370, ,0
371,pr,124262600
372,ro,61038500
373,ov,122351600
374,ve,126590800
375, ,0
376,se,61797900
377,ep,188369500
378,pa,184789200
379,ar,124720700
380,ra,1117156200
381,at,184864500
382,te,185647300
383, ,0
384,fo,61975600
385,or,125949800
386,rc,247387400
387,ce,248792100
388, ,0
389,le,124739400
390,es,62596500
391,ss,185979200
392, ,0
393,do,124640300
394,ow,62728400
395,wn,124213500
396, ,0
397,ho,123088000
398,ol,184435300
399,ld,124920700
400, ,0
401,pl,126048100
402,la,123259300
403,an,186808400
404,ne,123484100
405,et,314664500
406, ,0
407,al,185563600
408,ls,374225100
409,so,343000
410, ,0
411,du,125277100
412,ur,311500
413,ri,187569300
414,in,63023500
415,ng,62682400
416, ,0
417,fl,62821200
418,lo,186116600
419,ow,126757800
420, ,0
421,ca,61161700
422,am,997466300
423,mp,61265000
424, ,0
425,in,124905600
426,nd,186422700
427,du,128082400
428,us,126075800
429,st,246865400
430,tr,186462800
431,ry,62902300
432, ,0
433,wa,258000
434,at,185701900
435,te,125283400
436,er,125945700
437, ,0
438,li,62355600
439,ie,187159000
440, ,0
441,ca,62840000
442,am,62510200
443,me,186244500
444, ,0
445,st,250682600
446,ti,495509000
447,il,188194600
448,ll,124513600
449, ,0
450,af,123628500
451,fr,311378300
452,ra,124095800
453,ai,122315600
454,id,248099700
455, ,0
456,le,122801700
457,en,123870000
458,ng,185322900
459,gt,248974200
460,th,620692400
461, ,0
462,bo,62063900
463,ox,126132100
464, ,0
465,ra,63408000
466,ad,372358100
467,di,63240000
468,io,124260500
469, ,0
470,so,62347000
471,on,124323000
472,ng,62304000
473, ,0
474,se,184876000
475,ec,186397600
476,ct,185466300
477,ti,370500
478,io,62573200
479,on,61770300
480, ,0
481,bu,310375800
482,ur,684283400
483,rn,125066600
484, ,0
485,fi,62256300
486,ir,125140900
487,re,125515500
488, ,0
489,di,186161500
490,if,186594400
491,ff,124412700
492,fi,124306100
493,ic,123370400
