,seq,time
0,th,190038100
1,he,62912300
2,es,697118600
3,sh,189241700
4,hu,124810600
5,ut,254990700
6,tt,189713400
7,tl,126949900
8,le,252194100
9,er,1203348600
10,re,124810700
11,ea,191714900
12,ac,251035700
13,ch,189821400
14,he,121931100
15,ed,1264528800
16,dt,253574100
17,th,127000800
18,he,188032100
19,ei,630590500
20,ip,382014500
21,pl,189901900
22,ls,1438916400
23,sa,191924000
24,at,127968300
25,te,382079800
26,el,189874500
27,ll,446139700
28,li,439715500
29,it,127028600
30,te,187380200
31,ei,1511121000
32,in,186995200
33,no,314135800
34,on,250142100
35,nl,312912800
36,ly,125995400
37,yf,885488800
38,fe,62732300
39,ew,250172900
40,wh,504247800
41,ho,127815500
42,ou,251028500
43,ur,249830100
44,rs,381778800
45,si,2336077300
46,in,126642800
47,nt,382997400
48,te,190988300
49,er,192086400
50,rp,1142650100
51,pl,191150600
52,la,190011400
53,an,316163800
54,ne,190074300
55,et,1330052200
56,ta,123050600
57,ar,126952700
58,ry,382005300
59,yl,1593574800
60,la,189977400
61,au,127956700
62,un,191125000
63,nc,757415700
64,ch,190161000
65,hw,1329558600
66,wa,191010600
67,as,251955900
68,sa,504269500
69,ac,636923800
70,ci,126102900
71,it,252460500
72,ty,253115900
73,yo,1831368200
74,of,125127500
75,ft,188063400
76,th,127116100
77,hr,126077800
78,re,572582100
79,ee,188982400
80,et,1652242300
81,th,192201500
82,ho,126781700
83,ou,317120700
84,us,440590300
85,sa,185994000
86,an,61906600
87,nd,317998000
88,di,1969501600
89,in,127800400
90,nh,317574700
91,ha,188916100
92,ab,250095300
93,bi,189850700
94,it,189612800
95,ta,191950200
96,ab,191085000
97,bn,1332516400
98,nt,636665400
99,ts,623482200
100,sb,1710493700
101,br,63966000
102,re,125157800
103,ea,316213500
104,at,191826600
105,th,317029900
106,hi,316964000
107,in,126155100
108,ng,127987100
109,go,2149329900
110,ox,127007700
111,xy,446648500
112,yg,252946100
113,ge,128126000
114,en,253963200
115,nf,379555900
116,fr,188048700
117,ro,62865200
118,om,252116000
119,mt,1643136100
120,th,127894600
121,he,191092900
122,ep,378939800
123,pl,125643500
124,la,187978400
125,an,189015000
126,nt,248894800
127,ts,1575195400
128,st,445985900
129,th,127984500
130,ha,189037600
131,at,186678500
132,ta,760182900
133,al,125464500
134,ls,187077500
135,so,249923400
136,of,1510938300
137,fe,126263900
138,ed,317852400
139,dt,505102500
140,th,127626500
141,he,125850800
142,em,439984500
143,md,2275519500
144,dr,254037300
145,ri,125108400
146,in,186843500
147,nk,1138162300
148,ki,380146000
149,in,188963800
150,ng,189946300
151,gw,1328926700
152,wa,126190400
153,at,125864400
154,te,254071400
155,er,379894800
156,rt,946006600
157,th,128000000
158,ha,125922300
159,at,190190600
160,th,632914000
161,ha,63175300
162,ad,1140785900
163,da,252064000
164,al,125972300
165,lr,502995900
166,re,124928600
167,ea,255097800
168,ad,760036500
169,dy,125821200
170,yp,1392075600
171,pa,126078800
172,aa,189973400
173,as,1390927800
174,ss,125040800
175,se,317925100
176,ed,820224400
177,dt,1325062700
178,th,1136833100
179,hr,128061000
180,ro,316001800
181,ou,872950800
182,ug,189056300
183,gh,185872500
184,ht,1447249100
185,th,191863500
186,he,884076900
187,ei,188976500
188,ir,188878300
189,rb,1520004300
190,bo,191111600
191,od,382856300
192,di,128036200
193,ie,128002300
194,es,315968800
195,st,1891529900
196,te,188615400
197,en,125991400
198,nt,189147000
199,th,125826700
200,ho,189980300
201,ou,253775300
202,us,381093300
203,sa,126919200
204,an,127981000
205,nd,382533300
206,dt,1713615600
207,ti,439629700
208,im,191115300
209,me,249105300
210,es,624610400
211,sl,2760871900
212,li,250970200
213,iv,631431400
214,vi,126150600
215,in,125038400
216,ng,190066100
217,go,634861400
218,on,378574900
219,nl,127012000
220,ly,189931900
221,yt,315092200
222,to,125700800
223,os,1632913600
224,se,190250700
225,er,251924700
226,rv,378982400
227,vi,126947600
228,ie,254147800
229,ec,3954754800
230,ce,189444700
231,et,7955385900
232,th,190003700
233,he,62938200
234,et,319023400
235,tu,256123000
236,ug,760553500
237,gs,189890500
238,st,1391078500
239,th,189879600
240,ha,62028700
241,at,254031900
242,td,187996200
243,di,189582800
244,id,127917200
245,da,2025385700
246,al,249981600
247,ll,127009300
248,lt,191026100
249,th,253836200
250,he,125970600
251,eo,885610300
252,ox,125098600
253,xw,694975100
254,wo,127462600
255,or,190080100
256,rk,252092500
257,ki,1588146000
258,in,380989900
259,nt,191943000
260,th,125016800
261,he,190199900
262,es,442476900
263,so,191435800
264,ol,255007600
265,la,126083000
266,ar,380811000
267,rs,1074859200
268,sy,127810200
269,ys,191960300
270,st,698095800
271,te,188265600
272,em,188707900
273,ma,944995200
274,an,189054900
275,nd,189548500
276,dp,5064291200
277,pa,127008000
278,at,7963235200
279,th,190053300
280,he,127977100
281,es,1708908700
282,sh,188156800
283,hu,191043800
284,ut,313000700
285,tt,251959600
286,tl,125987900
287,le,124972900
288,es,1708922200
289,st,314082900
290,th,189020600
291,ha,123992400
292,at,190976500
293,tt,380892300
294,to,252199400
295,oo,188929900
296,ok,1197209700
297,kt,188975600
298,th,188086200
299,he,126961700
300,ei,190945900
301,ir,254083900
302,rc,1579852800
303,ca,64152800
304,ar,252059100
305,rg,633958900
306,go,125936300
307,oe,126026700
308,es,315030400
309,sa,439920300
310,an,191009100
311,nd,254078800
312,dp,1584342800
313,pa,62317400
314,as,445041500
315,ss,126887400
316,se,251992000
317,en,188055100
318,ng,696115600
319,ge,126851200
320,er,188885200
321,rs,505109300
322,sb,1387038000
323,ba,122914800
324,ac,377067000
325,ck,253849600
326,kt,1200101700
327,to,189005100
328,ot,312856200
329,th,128025000
330,he,125034500
331,ee,569946900
332,ea,253130900
333,ar,821923600
334,rt,189945300
335,th,189000400
336,ho,2015609400
337,or,507928000
338,rt,252052600
339,th,124874000
340,he,190088700
341,em,319985300
342,mo,316958800
343,oo,126090700
344,on,314993300
345,ni,1391876200
346,it,127052500
347,tw,634456400
348,wa,255843700
349,as,949005300
350,sa,315094800
351,aw,629006500
352,wo,187955800
353,or,254094400
354,rl,442042400
355,ld,377894400
356,dw,1202940100
357,wh,127080300
358,he,126888400
359,er,251204100
360,re,254030300
361,eb,1962899300
362,br,758879700
363,ri,189034400
364,ie,125983100
365,ef,693930700
366,fl,127109900
367,ly,508225800
368,ye,2272315500
369,en,124958200
370,nd,190946300
371,de,126977300
372,er,756173300
373,rf,1013047300
374,fe,126835100
375,el,253996400
376,lt,317040400
377,ta,1072075300
