,seq,time
0,th,123995700
1,he,127205100
2,es,250219200
3,sh,188693500
4,hu,185824100
5,ut,125384500
6,tt,190878600
7,tl,123871700
8,le,126994900
9,er,1266440200
10,re,63048200
11,ea,124928500
12,ac,318927700
13,ch,255039600
14,he,125139400
15,ed,250929000
16,dt,256090900
17,th,62954100
18,he,125027300
19,ei,315139300
20,ip,188746100
21,pl,250983900
22,ls,251230900
23,sa,313784800
24,at,249016000
25,te,125855200
26,el,186093800
27,ll,123134300
28,li,126018600
29,it,187978700
30,te,125926900
31,ei,186984400
32,in,186988100
33,no,310032000
34,on,189005200
35,nl,124518500
36,ly,190014100
37,ya,191019500
38,af,696989000
39,fe,248949800
40,ew,61997100
41,wh,693027700
42,ho,189058100
43,ou,62977600
44,ur,312938800
45,rs,188045100
46,si,314467000
47,in,128046000
48,nt,124020500
49,te,126078200
50,er,127974500
51,rp,250058000
52,pl,251933900
53,la,59930600
54,an,311974600
55,ne,188102000
56,et,247892700
57,ta,314095700
58,ar,185899600
59,ry,187003900
60,yu,295600
61,ul,443788000
62,la,125136300
63,au,308778000
64,un,190047500
65,nc,127047800
66,ch,251958700
67,hw,317050900
68,wa,64030800
69,as,314931500
70,sa,635533900
71,ac,381006400
72,ci,126008800
73,it,190851100
74,ty,123995000
75,yo,252046200
76,of,126942400
77,ft,316050700
78,th,188580700
79,hr,374037800
80,re,187975100
81,ee,191160200
82,et,191972100
83,th,187059000
84,ho,61895800
85,ou,191127200
86,us,188856900
87,sa,189064300
88,an,126986100
89,nd,190077400
90,di,380929800
91,in,189050900
92,nh,317984500
93,ha,63916500
94,ab,439067400
95,bi,63899700
96,it,253151300
97,ta,61945400
98,an,188285800
99,nt,173692500
100,ts,185088100
101,sb,819035200
102,br,249836700
103,re,125101000
104,ea,125934900
105,at,316063900
106,ti,125893700
107,in,125053900
108,ng,186016500
109,go,941022100
110,ox,380012500
111,xy,188929900
112,yg,502017300
113,ge,127177400
114,en,189893000
115,nf,250926500
116,fr,187012100
117,ro,63023400
118,om,64126900
119,mt,188940700
120,th,124862000
121,he,126022300
122,ep,187999900
123,pl,189162500
124,la,126891100
125,an,377008900
126,nt,191009300
