,seq,time
0,so,372114200
1,oi,121633300
2,il,125660400
3, ,0
4,go,248550200
5,ov,249355900
6,ve,248416400
7,er,124623700
8,rn,435250100
9, ,0
10,mo,249753200
11,om,188418400
12,me,310754800
13,en,435858000
14,nt,309208100
15, ,0
16,le,372224800
17,eg,187280500
18, ,0
19,en,372268200
20,ne,311665200
21,er,124697200
22,rg,250111900
23,gy,189140800
24, ,0
25,fl,247357400
26,lo,186552300
27,ow,249472800
28, ,0
29,he,245618800
30,ea,187178700
31,ar,186152600
32, ,0
33,ho,186869900
34,ol,185837500
35,le,249765600
36, ,0
37,vo,311150100
38,ow,310195300
39,we,124667600
40,el,435156100
41, ,0
42,bo,248856600
43,on,187318600
44,ne,311387200
45, ,0
46,la,371525000
47,ad,186084900
48,dy,619870800
49, ,0
50,fe,249315900
51,el,370754700
52,ll,124616600
53, ,0
54,do,310591800
55,oe,248578700
56,es,184555200
57, ,0
58,or,312004000
59,rg,431124600
60,ga,246040000
61,an,372922600
62, ,0
63,le,372354500
64,et,185661500
65, ,0
66,jo,248512900
67,ob,372458300
68, ,0
69,sa,185934800
70,av,310149500
71,ve,249631200
72, ,0
73,so,371995800
74,ol,122717800
75,ld,310393300
76,di,248738800
77,ie,309629200
78,er,123622200
79, ,0
80,gu,249815800
81,ui,125267300
82,id,249385000
83,de,186323100
84, ,0
85,gr,123903600
86,ra,251413700
87,ay,309530400
88, ,0
89,wi,312310100
90,id,311179800
91,de,123346600
92, ,0
93,ch,435896600
94,he,246519100
95,ec,185679400
96,ck,310012900
97, ,0
98,sl,310463400
99,le,249727600
100,ee,124396200
101,ep,309149500
102, ,0
103,be,184190400
104,es,124624400
105,st,249171600
106, ,0
107,fe,562093400
108,el,2043512600
109,lt,249056200
110, ,0
111,en,369887200
112,nd,248889600
113, ,0
114,ke,312124100
115,ep,310888100
116,pt,372652300
117, ,0
118,ex,186370100
119,xc,247990800
120,ci,186110800
121,it,311092800
122,te,248328200
123, ,0
124,st,186797400
125,ta,245765100
126,ar,187651700
127,rt,185349100
128, ,0
129,pl,186519200
130,la,309745500
131,an,308892300
132,nt,248204400
133, ,0
134,ag,371866700
135,ga,248341700
136,ai,372869600
137,in,559984600
138,ns,373914600
139,st,248950000
140, ,0
141,le,372106000
142,ef,188566300
143,ft,187331000
144, ,0
145,cl,310398800
146,lo,124540700
147,ou,248379900
148,ud,248224000
149, ,0
150,se,187496800
151,ea,188129400
152, ,0
153,th,187216500
154,ha,248363000
155,an,310773800
156, ,0
157,pr,747581900
158,ro,373235600
159,ob,618571100
160,ba,249356800
161,ab,311728300
162,bl,247483500
163,le,371246600
164, ,0
165,re,186603500
166,ea,125507300
167,ad,248699300
168,dy,497618700
169, ,0
170,qu,311890500
171,ua,559727100
172,ar,246015300
173,rt,180038700
174, ,0
175,be,188012500
176,eh,498602900
177,hi,187143900
178,in,435217700
179,nd,249672800
180, ,0
181,gr,374864100
182,ro,62878800
183,ou,186492800
184,up,247992100
185, ,0
186,da,188610500
187,ad,186352600
188, ,0
189,mi,189254500
190,il,186509900
191,le,122893000
192, ,0
193,sp,62442300
194,po,187543500
195,ot,123652600
196, ,0
197,li,125721100
198,is,62751600
199,st,188772100
200, ,0
201,fr,184267000
202,ra,61517700
203,ac,309780300
204,ct,311426900
205,ti,186070700
206,io,249166400
207,on,314170400
208, ,0
209,po,125146700
210,os,124533900
211,ss,185237200
212,si,123940900
213,ib,620414700
214,bl,185163700
215,le,125844400
216, ,0
217,su,186553700
218,uc,248615000
219,ch,188339300
220, ,0
221,fe,248486600
222,ee,63159800
223,et,250888000
224, ,0
225,ne,309407100
226,ec,123871400
227,ce,187216000
228,es,185362900
229,ss,124336500
230,sa,185010400
231,ar,249356500
232,ry,186141600
233, ,0
234,sa,124108000
235,al,371786600
236,lt,309926500
237, ,0
238,ba,249319200
239,an,435985700
240,nd,248402800
241, ,0
242,no,248641800
243,oo,123224900
244,on,500454200
245, ,0
246,ju,185935000
247,us,251313800
248,st,248439300
249, ,0
250,ty,124482100
251,yp,314141200
252,pe,370727600
253, ,0
254,we,312564700
255,ea,188249600
256,at,249675400
257,th,185345500
258,he,187232400
259,er,434006300
260, ,0
261,ma,249728700
262,ak,312376600
263,ke,311565300
264, ,0
265,bl,248602700
266,lo,188641300
267,oc,500485300
268,ck,311295500
269, ,0
270,ce,187476700
271,en,434045600
272,nt,185617000
273,te,186263500
274,er,122785900
275, ,0
276,sp,370620000
277,pe,310559500
278,ec,496489900
279,ci,247381500
280,ia,246442900
281,al,310257900
282, ,0
283,se,186729000
284,en,376769000
285,nt,247774200
286, ,0
287,ma,312791600
288,ag,742794500
289,gn,123131800
290,ne,247898700
291,et,185489400
292, ,0
293,ey,185857400
294,ye,187348600
295, ,0
296,ex,188815300
297,xa,558650500
298,ac,249084200
299,ct,310017200
300, ,0
301,sm,494816200
302,me,249118100
303,el,433582400
304,ll,60752100
305, ,0
306,mi,497971600
307,in,185766600
308,nd,746177500
309, ,0
310,en,558814900
311,no,249582800
312,ou,1745935400
313,ug,247022100
314,gh,124773100
315, ,0
316,to,432589700
317,og,1615466000
318,ge,245546800
319,et,186066000
320,th,186333000
321,he,185977800
322,er,186776800
323, ,0
324,wo,375522300
325,oo,61932900
326,od,310526500
327, ,0
328,te,186679900
329,er,124991500
330,rm,1926314700
331, ,0
332,mo,1180109500
333,ou,247936200
334,ut,247705100
335,th,123908100
336, ,0
337,ma,370993300
338,ad,186374000
339,de,125962000
340, ,0
341,se,189620300
342,el,308773100
343,lf,310857900
344, ,0
345,go,188288700
346,ol,187901000
347,ld,310850800
348, ,0
349,no,248740200
350,or,314394100
351, ,0
352,fi,251633800
353,ig,247881200
354,gu,311438700
355,ur,186984800
356,re,185011600
357, ,0
358,sp,309967300
359,pe,309451600
360,el,372984500
361,ll,61878000
362, ,0
363,to,499736900
364,ow,372127300
365,wa,125343200
366,ar,187131500
367,rd,184364000
368, ,0
369,to,246791600
370,oo,126351000
371,ok,183947100
372, ,0
373,su,372101000
374,uc,435897700
375,cc,124189900
376,ce,249766500
377,es,434844600
378,ss,124685700
379, ,0
380,in,185999400
381,ns,311378900
382,se,126348800
383,ec,185396800
384,ct,185998500
385, ,0
386,sn,498060900
387,no,248738800
388,ow,309719500
389, ,0
390,ho,249312900
391,ou,184941100
392,us,249844400
393,se,189359100
394, ,0
395,ga,187995300
396,am,372368500
397,me,310877600
398, ,0
399,jo,185211700
400,oy,249168000
401, ,0
