,seq,time
0,soi,493747500
1,oil,247293700
2, ,0
3,gov,497906100
4,ove,497772300
5,ver,373040100
6,ern,559873800
7, ,0
8,mom,438171600
9,ome,499173200
10,men,746612800
11,ent,745066100
12, ,0
13,leg,559505300
14, ,0
15,ene,683933400
16,ner,436362400
17,erg,374809100
18,rgy,439252700
19, ,0
20,flo,433909700
21,low,436025100
22, ,0
23,hea,432797500
24,ear,373331300
25, ,0
26,hol,372707400
27,ole,435603100
28, ,0
29,vow,621345400
30,owe,434862900
31,wel,559823700
32, ,0
33,bon,436175200
34,one,498705800
35, ,0
36,lad,557609900
37,ady,805955700
38, ,0
39,fel,620070600
40,ell,495371300
41, ,0
42,doe,559170500
43,oes,433133900
44, ,0
45,org,743128600
46,rga,677164600
47,gan,618962600
48, ,0
49,let,558016000
50, ,0
51,job,620971200
52, ,0
53,sav,496084300
54,ave,559780700
55, ,0
56,sol,494713600
57,old,433111100
58,ldi,559132100
59,die,558368000
60,ier,433251400
61, ,0
62,gui,375083100
63,uid,374652300
64,ide,435708100
65, ,0
66,gra,375317300
67,ray,560944100
68, ,0
69,wid,623489900
70,ide,434526400
71, ,0
72,che,682415700
73,hec,432198500
74,eck,495692300
75, ,0
76,sle,560191000
77,lee,374123800
78,eep,433545700
79, ,0
80,bes,308814800
81,est,373796000
82, ,0
83,fel,2605606000
84,elt,2292568800
85, ,0
86,end,618776800
87, ,0
88,kep,623012200
89,ept,683540400
90, ,0
91,exc,434360900
92,xci,434101600
93,cit,497203600
94,ite,559421000
95, ,0
96,sta,432562500
97,tar,433416800
98,art,373000800
99, ,0
100,pla,496264700
101,lan,618637800
102,ant,557096700
103, ,0
104,aga,620208400
105,gai,621211300
106,ain,932854200
107,ins,933899200
108,nst,622864600
109, ,0
110,lef,560672300
111,eft,375897300
112, ,0
113,clo,434939500
114,lou,372920600
115,oud,496603900
116, ,0
117,sea,375626200
118, ,0
119,tha,435579500
120,han,559136800
121, ,0
122,pro,1120817500
123,rob,991806700
124,oba,867927900
125,bab,561085100
126,abl,559211800
127,ble,618730100
128, ,0
129,rea,312110800
130,ead,374206600
131,ady,746318000
132, ,0
133,qua,871617600
134,uar,805742400
135,art,426054000
136, ,0
137,beh,686615400
138,ehi,685746800
139,hin,622361600
140,ind,684890500
141, ,0
142,gro,437742900
143,rou,249371600
144,oup,434484900
145, ,0
146,dad,374963100
147, ,0
148,mil,375764400
149,ile,309402900
150, ,0
151,spo,249985800
152,pot,311196100
153, ,0
154,lis,188472700
155,ist,251523700
156, ,0
157,fra,245784700
158,rac,371298000
159,act,621207200
160,cti,497497600
161,tio,435237100
162,ion,563336800
163, ,0
164,pos,249680600
165,oss,309771100
166,ssi,309178100
167,sib,744355600
168,ibl,805578400
169,ble,311008100
170, ,0
171,suc,435168700
172,uch,436954300
173, ,0
174,fee,311646400
175,eet,314047800
176, ,0
177,nec,433278500
178,ece,311087400
179,ces,372578900
180,ess,309699400
181,ssa,309346900
182,sar,434366900
183,ary,435498100
184, ,0
185,sal,495894600
186,alt,681713100
187, ,0
188,ban,685304900
189,and,684388500
190, ,0
191,noo,371866700
192,oon,623679100
193, ,0
194,jus,437248800
195,ust,499753100
196, ,0
197,typ,438623300
198,ype,684868800
199, ,0
200,wea,500814300
201,eat,437925000
202,ath,435020900
203,the,372577900
204,her,621238700
205, ,0
206,mak,562105300
207,ake,623941900
208, ,0
209,blo,437244000
210,loc,689126600
211,ock,811780800
212, ,0
213,cen,621522300
214,ent,619662600
215,nte,371880500
216,ter,309049400
217, ,0
218,spe,681179500
219,pec,807049400
220,eci,743871400
221,cia,493824400
222,ial,556700800
223, ,0
224,sen,563498000
225,ent,624543200
226, ,0
227,mag,1055586100
228,agn,865926300
229,gne,371030500
230,net,433388100
231, ,0
232,eye,373206000
233, ,0
234,exa,747465800
235,xac,807734700
236,act,559101400
237, ,0
238,sme,743934300
239,mel,682700500
240,ell,494334500
241, ,0
242,min,683738200
243,ind,931944100
244, ,0
245,eno,808397700
246,nou,1995518200
247,oug,1992957500
248,ugh,371795200
249, ,0
250,tog,2048055700
251,oge,1861012800
252,get,431612800
253,eth,372399000
254,the,372310800
255,her,372754600
256, ,0
257,woo,437455200
258,ood,372459400
259, ,0
260,ter,311671400
261,erm,2051306200
262, ,0
263,mou,1428045700
264,out,495641300
265,uth,371613200
266, ,0
267,mad,557367300
268,ade,312336000
269, ,0
270,sel,498393400
271,elf,619631000
272, ,0
273,gol,376189700
274,old,498751800
275, ,0
276,nor,563134300
277, ,0
278,fig,499515000
279,igu,559319900
280,gur,498423500
281,ure,371996400
282, ,0
283,spe,619418900
284,pel,682436100
285,ell,434862500
286, ,0
287,tow,871864200
288,owa,497470500
289,war,312474700
290,ard,371495500
291, ,0
292,too,373142600
293,ook,310298100
294, ,0
295,suc,807998700
296,ucc,560087600
297,cce,373956400
298,ces,684611100
299,ess,559530300
300, ,0
301,ins,497378300
302,nse,437727700
303,sec,311745600
304,ect,371395300
305, ,0
306,sno,746799700
307,now,558458300
308, ,0
309,hou,434254000
310,ous,434785500
311,use,439203500
312, ,0
313,gam,560363800
314,ame,683246100
315, ,0
316,joy,434379700
317, ,0
318,dry,495996200
319, ,0
320,pro,681633300
321,rod,619430400
322,odu,623074300
323,duc,560225700
324,uce,498146800
325, ,0
326,sur,810563200
327,urf,623952600
328,rfa,374443800
329,fac,375458900
330,ace,372384100
331, ,0
332,des,436811600
333,esc,437724300
334,scr,436205100
335,cri,499430600
336,rib,623162000
337,ibe,620690000
338, ,0
339,car,435326300
340,arr,372499000
341,rry,371524100
342, ,0
343,sen,509289700
344,ens,631834100
345,nse,436442100
346, ,0
347,sai,498402900
348,ail,496895400
349, ,0
350,san,431229900
351,and,558859400
352, ,0
353,fre,374617800
354,ree,249855300
355, ,0
356,hai,622427600
357,air,560591700
358, ,0
359,sta,559632000
360,tay,746238700
361, ,0
362,win,873541600
363,int,871094200
364,nte,496548500
365,ter,311784700
366, ,0
367,occ,1181079200
368,ccu,1118620700
369,cur,498375300
370, ,0
371,ope,494784600
372,pen,805260100
373, ,0
374,ste,497151700
375,tea,434717300
376,eam,807724100
377, ,0
378,str,495511600
379,tre,372659900
380,ree,308980800
381,eet,309207000
382, ,0
383,you,624415900
384, ,0
385,roa,623091300
386,oad,499496400
387, ,0
388,wer,370864600
389,ere,312428100
390, ,0
391,und,495611900
392,nde,498655400
393,der,312952000
394, ,0
