,seq,time
0,th,189503400
1,he,64070400
2,es,699950600
3,sh,189729400
4,hu,313992800
5,ut,192044600
6,tt,189917400
7,tl,2416809700
8,le,127934900
9,er,1713278500
10,re,190989600
11,ea,508124500
12,ac,569538100
13,ch,191010600
14,he,188928900
15,ed,316636900
16,dt,2354338800
17,th,126920300
18,he,764630500
19,ei,571928200
20,ip,122986600
21,pl,249373700
22,ls,1650261800
23,sa,190481000
24,at,126782500
25,te,251844600
26,el,317018300
27,ll,128086900
28,li,252422300
29,it,253095700
30,te,2849936000
31,ei,126986400
32,in,632934400
33,no,437649200
34,on,250981300
35,nl,251940000
36,ly,252728600
37,ya,890018100
38,af,252042500
39,fe,63975400
40,ew,697616400
41,wh,444060300
42,ho,64145000
43,ou,378844600
44,ur,190659400
45,rs,445032300
46,si,2095118200
47,in,187995300
48,nt,316486700
49,te,125631700
50,er,252005800
51,rp,381911500
52,pl,191795100
53,la,188936700
54,an,316077100
55,ne,251985100
56,et,316075300
57,ta,256004800
58,ar,250030400
59,ry,191057500
60,yl,1652336700
61,la,188959500
62,au,254676100
63,un,252973300
64,nc,508947100
65,ch,63056900
66,hw,1460682700
67,wa,188953800
68,as,189965300
69,sa,253960100
70,ac,633822600
71,ci,191088600
72,it,188949500
73,ty,317604100
74,yo,1460566500
75,of,251943600
76,ft,377713400
77,th,127971000
78,hr,149196800
79,re,434614100
80,ee,249978200
81,et,822052100
82,th,127979800
83,ho,313021600
84,ou,318090300
85,us,61938600
86,sa,190548900
87,an,187082800
88,nd,441976000
89,di,1332189000
90,in,188895500
91,nh,254078700
92,ha,126919500
93,ab,253061000
94,bi,252616800
95,it,126940200
96,ta,192020500
97,an,252007000
98,nt,380056500
99,ts,509087400
100,sb,1835182600
101,br,317915200
102,re,317122800
103,ea,191965600
104,at,124054600
105,th,189926600
106,hi,254095100
107,in,249110200
108,ng,191063100
109,go,2291372200
110,ox,189037500
111,xy,189939200
112,yg,255007300
113,ge,189126100
114,en,190928600
115,nf,1330619900
116,fr,63496400
117,ro,191128600
118,om,192019600
119,mt,1397638600
120,th,189991000
121,he,189613000
122,ep,315974300
123,pl,126921400
124,la,190091200
125,an,126948000
126,nt,254712300
127,ts,1465977100
128,st,500764400
129,th,190928800
130,ha,127095500
131,at,191946100
132,ta,383549300
133,al,255071600
134,lo,188917800
135,oo,3683050100
136,of,1397122400
137,fe,61991400
138,ed,316116900
139,dt,573468800
140,th,128021000
141,he,127939500
142,em,509634800
143,md,1845432400
144,dr,314106700
145,ri,445944900
146,in,192121000
147,nk,443020300
148,ki,192042900
149,in,192055700
150,ng,189311000
151,gw,1456561900
152,wa,187970900
153,at,125999700
154,te,190624600
155,er,254960400
156,rt,254001400
157,th,127072200
158,ha,127918600
159,at,190565200
160,th,1205559500
161,ha,62009300
162,as,319036300
163,sa,1902100300
164,al,127986900
165,lr,191949700
166,re,1012632000
167,ea,318529800
168,ad,442070800
169,dy,191910200
170,yp,2737758000
171,pa,126978900
172,as,571620600
173,ss,124983600
174,se,310912400
175,ed,254131100
176,dt,1593790100
177,th,191978500
178,hr,127026200
179,ro,1072468500
180,ou,316290100
181,ug,447007400
182,gh,192093200
183,ht,1331499200
184,th,126984600
185,he,188974800
186,ei,127988200
187,ir,254005700
188,rb,1649826200
189,bo,189026300
190,of,190032600
191,fi,1338206500
192,is,1075586300
193,st,1966046400
194,te,254997900
195,en,189146800
196,nt,249051000
197,th,316149100
198,ho,125751500
199,ou,256020500
200,us,319552400
201,sa,192092300
202,an,126875700
203,nd,507009600
204,dt,1461285200
205,ti,126946600
206,im,189989900
207,me,441711400
208,es,1653513400
209,sl,759182200
210,li,572561800
211,iv,569541900
212,vi,63932500
213,in,189039800
214,ng,190578400
215,go,765572700
216,on,252157000
217,nl,315931100
218,ly,443029300
219,yt,316181600
220,to,189080800
221,os,570962400
222,se,316950100
223,er,251957300
224,rv,314134900
225,vi,190857600
226,ic,190142200
227,ce,253998000
228,et,1646965300
229,th,250965400
230,he,125971400
231,ee,125102100
232,et,186876400
233,tu,254686000
234,ug,380915600
235,gs,1398539000
236,st,318554700
237,th,126998700
238,ha,126015300
239,at,190031400
240,td,444580300
241,di,126938400
242,id,252003600
243,da,1329571700
244,al,252051400
245,ll,190615100
246,lt,253944900
247,th,189932000
248,he,127037700
249,eo,1966307900
250,ox,126845500
251,xw,569615600
252,wo,192066700
253,or,126844600
254,rk,378868300
255,ki,1393584900
256,in,188984400
257,nt,191956300
258,th,124945200
259,he,191617800
260,es,445082500
261,so,318962900
262,ol,251189900
263,la,191099100
264,ar,374925900
265,rs,1138097500
266,sy,128071300
267,ys,191045500
268,st,693926300
269,te,190140400
270,em,314099600
271,ma,1462120600
272,an,125068300
273,nd,191574100
274,dt,251912300
275,th,190140400
276,he,187989600
277,es,1458004000
278,sh,189062000
279,hu,315043400
280,ut,253499200
281,tt,187909400
