,seq,time
0,ro,310279300
1,oo,126528900
2,ot,247359300
3, ,0
4,ga,248626100
5,ar,188177800
6,rd,188820600
7,de,123837100
8,en,373529700
9, ,0
10,di,253419700
11,iv,191985500
12,vi,317579600
13,is,252026000
14,si,250986600
15,io,189895200
16,on,188075900
17, ,0
18,un,185483800
19,nd,308069000
20,de,123685700
21,er,123279800
22, ,0
23,te,187116600
24,ea,186416000
25,am,308955400
26, ,0
27,ya,310127200
28,ar,249197700
29,rd,186590600
30, ,0
31,mo,311662400
32,ot,373052800
33,ti,249593000
34,io,124031200
35,on,248431200
36, ,0
37,su,310188400
38,uc,250059600
39,cc,124946800
40,ce,188725100
41,es,249968800
42,ss,124483000
43, ,0
44,li,187722900
45,ig,186881500
46,gh,123550600
47,ht,187538200
48, ,0
49,se,186701000
50,ee,123581600
51,ed,125115700
52, ,0
53,se,807626800
54,el,1560026700
55,lf,249140200
56, ,0
57,ex,188759300
58,xp,371595800
59,pe,371129400
60,ec,187877800
61,ct,246762900
62, ,0
63,ho,186342900
64,ou,250825100
65,us,249098400
66,se,186800800
67, ,0
68,wo,374205600
69,om,186392200
70,me,312726900
71,en,435280100
72, ,0
73,bo,250608200
74,ot,309663900
75,tt,123218100
76,to,186354400
77,om,310641400
78, ,0
79,ta,246083800
80,ak,310070600
81,ke,250742100
82, ,0
83,ch,187465800
84,ha,249011600
85,an,372403600
86,nc,310149100
87,ce,124745500
88, ,0
89,ag,309865700
90,go,251190600
91, ,0
92,pr,250343900
93,re,122327900
94,es,185921900
95,se,126311700
96,en,433497300
97,nt,311286900
98, ,0
99,ga,248594300
100,as,122899200
101, ,0
102,da,187138800
103,ay,496364900
104, ,0
105,wi,247425600
106,id,307731000
107,de,124759300
108, ,0
109,so,436191400
110,oo,124529200
111,on,189982300
112, ,0
113,eq,188430800
114,qu,247793900
115,ua,246730400
116,al,310157600
117, ,0
118,fi,247575700
119,ig,247248400
120, ,0
121,be,250389600
122,eg,310923800
123,gi,186951100
124,in,684913300
125, ,0
126,ne,249939600
127,ea,126420000
128,ar,189580800
129, ,0
130,si,309454900
131,il,190543700
132,lv,309815400
133,ve,250577500
134,er,123070600
135, ,0
136,ch,186981500
137,ha,310632200
138,ar,249080700
139,rt,312252400
140, ,0
