,seq,time
0,roo,436808200
1,oot,373888200
2, ,0
3,gar,436803900
4,ard,376998400
5,rde,312657700
6,den,497366800
7, ,0
8,div,445405200
9,ivi,509565100
10,vis,569605600
11,isi,503012600
12,sio,440881800
13,ion,377971100
14, ,0
15,und,493552800
16,nde,431754700
17,der,246965500
18, ,0
19,tea,373532600
20,eam,495371400
21, ,0
22,yar,559324900
23,ard,435788300
24, ,0
25,mot,684715200
26,oti,622645800
27,tio,373624200
28,ion,372462400
29, ,0
30,suc,560248000
31,ucc,375006400
32,cce,313671900
33,ces,438693900
34,ess,374451800
35, ,0
36,lig,374604400
37,igh,310432100
38,ght,311088800
39, ,0
40,see,310282600
41,eed,248697300
42, ,0
43,sel,2367653500
44,elf,1809166900
45, ,0
46,exp,560355100
47,xpe,742725200
48,pec,559007200
49,ect,434640700
50, ,0
51,hou,437168000
52,ous,499923500
53,use,435899200
54, ,0
55,wom,560597800
56,ome,499119100
57,men,748007000
58, ,0
59,bot,560272100
60,ott,432882000
61,tto,309572500
62,tom,496995800
63, ,0
64,tak,556154400
65,ake,560812700
66, ,0
67,cha,436477400
68,han,621415200
69,anc,682552700
70,nce,434894600
71, ,0
72,ago,561056300
73, ,0
74,pre,372671800
75,res,308249800
76,ese,312233600
77,sen,559809000
78,ent,744784200
79, ,0
80,gas,371493500
81, ,0
82,day,683503700
83, ,0
84,wid,555156600
85,ide,432490300
86, ,0
87,soo,560720600
88,oon,314511500
89, ,0
90,equ,436224700
91,qua,494524300
92,ual,556888000
93, ,0
94,fig,494824100
95, ,0
96,beg,561313400
97,egi,497874900
98,gin,871864400
99, ,0
100,nea,376359600
101,ear,316000800
102, ,0
103,sil,499998600
104,ilv,500359100
105,lve,560392900
106,ver,373648100
107, ,0
108,cha,497613700
109,har,559712900
110,art,561333100
111, ,0
112,spa,683823400
113,pac,618264700
114,ace,431969300
115, ,0
116,son,683468900
117,ong,622848300
118, ,0
119,pie,745869300
120,iec,498260700
121,ece,311228500
122, ,0
123,wom,621743900
124,oma,560729800
125,man,620126800
126, ,0
127,dre,308717100
128,res,436591600
129,ess,376089300
130, ,0
131,tog,807704900
132,oge,803966700
133,get,683627900
134,eth,561288200
135,the,494674900
136,her,371432600
137, ,0
138,thi,369924700
139,his,495978300
140, ,0
141,wei,623701400
142,eig,685723900
143,igh,436258200
144,ght,309283100
145, ,0
146,aga,746831100
147,gai,684608000
148,ain,870670100
149, ,0
