,seq,time
0,mo,126006800
1,ou,61122500
2,un,242943900
3,nt,62067500
4, ,0
5,wa,306600
6,ar,127604900
7,rm,189055300
8, ,0
9,ro,61470900
10,oo,125707400
11,ot,60982400
12, ,0
13,tw,248222000
14,wo,309671700
15, ,0
16,no,125345700
17,oi,124218200
18,is,246611500
19,se,374968200
20, ,0
21,pu,63132300
22,ut,555556100
23, ,0
24,co,123791600
25,om,62696800
26,me,123718100
27, ,0
28,he,186750200
29,er,63278300
30, ,0
31,ra,499802600
32,ad,249636400
33,di,61968900
34,io,123900400
35, ,0
36,su,127364800
37,ug,371833700
38,ga,126905400
39,ar,123949800
40, ,0
41,mi,62726100
42,in,249068800
43,nu,186124300
44,ut,63571000
45,te,124950500
46, ,0
47,bi,124504400
48,ig,185935100
49, ,0
50,so,248580600
51,oi,123966300
52,il,126145900
53, ,0
54,ma,63528800
55,an,125714700
56,ny,185108500
57, ,0
58,ox,186376600
59,xy,185360800
60,yg,249105300
61,ge,61706000
62,en,189203300
63, ,0
64,wr,125456500
65,ro,63382500
66,ot,246727400
67,te,62402100
68, ,0
69,tr,186987900
70,ra,62631500
71,av,124701800
72,ve,123918500
73,el,124798000
74, ,0
75,or,63652600
76,ri,185537300
77,ig,123801900
78,gi,124426500
79,in,125348100
80,na,125780300
81,al,63515600
82, ,0
83,ea,59848400
84,ac,247486300
85,ch,63013900
86, ,0
87,wa,685929600
88,al,247188900
89,ll,124937900
90, ,0
91,tr,188122600
92,ra,123463400
93,ai,186304100
94,in,124860600
95, ,0
96,su,124075900
97,ug,125046700
98,gg,123109200
99,ge,124044200
100,es,62501900
101,st,186092900
102, ,0
103,to,61865500
104,oo,124486400
105,ok,186662300
106, ,0
107,ra,63686400
108,an,1554483300
109,ng,188246200
110,ge,124749100
111, ,0
112,as,62467000
113,sk,188565300
114, ,0
115,si,124013300
116,it,62242500
117, ,0
118,be,63522000
119,eg,185409100
120,ga,124210100
121,an,124479900
122, ,0
123,ch,124376100
124,hi,62056100
125,il,188371700
126,ld,62201700
127,dr,249249900
128,re,61173600
129,en,186146200
130, ,0
131,sa,123908800
132,am,62228000
133,me,1304675700
134, ,0
135,co,61908300
136,on,125851700
137,nt,124521300
138,tr,124611700
139,ro,61284900
140,ol,186033900
141, ,0
142,de,188396300
143,ea,61824700
144,ar,123812300
145, ,0
146,mo,124127800
147,on,124587800
148,ne,124582200
149,ey,123646200
150, ,0
151,pe,126921000
152,er,124676000
153,rs,247137300
154,so,247412500
155,on,187022500
156, ,0
157,fe,60988700
158,el,124357800
159,lt,121889500
160, ,0
161,sh,61601700
162,ho,123509900
163,op,188003700
164, ,0
165,st,186179400
166,ti,124403700
167,il,126123100
168,ll,372071700
169, ,0
170,ex,186521200
171,xc,249887900
172,ce,250767400
173,ep,62387500
174,pt,124610000
175, ,0
176,ca,61650600
177,au,1427120900
178,us,249509400
179,se,305600
180, ,0
181,ro,62794800
182,ou,62989800
183,un,189660500
184,nd,124064800
185, ,0
186,ri,184367100
