,seq,time
0,co,123110600
1,ov,124467300
2,ve,185601500
3,er,63060800
4, ,0
5,cu,122279100
6,ur,123550000
7,rr,124433300
8,re,62237400
9,en,125215000
10,nt,125831800
11, ,0
12,ne,61598400
13,ex,187197800
14,xt,124574000
15, ,0
16,sa,124970900
17,al,124877500
18,lt,185514300
19, ,0
20,to,126378900
21,ol,123705500
22,ld,123980100
23, ,0
24,of,311220600
25,ft,313934600
26,te,126273200
27,en,433277400
28, ,0
29,th,60931100
30,he,122458600
31,en,62725800
32, ,0
33,le,61258200
34,et,125145900
35,tt,247306600
36,te,62647600
37,er,126490000
38, ,0
39,mu,187386700
40,uc,62786000
41,ch,184775200
42, ,0
43,cl,61034000
44,la,122907100
45,as,62305100
46,ss,187934200
47, ,0
48,st,127502500
49,ta,62499300
50,ar,124148100
51, ,0
52,th,745693600
53,he,123923600
54,er,124574800
55,re,62013300
56, ,0
57,sc,186654500
58,ci,124684300
59,ie,61276800
60,en,184930600
61,nc,125419400
62,ce,246912300
63, ,0
64,mo,62000000
65,ou,125102700
66,ut,61640800
67,th,124759200
68, ,0
69,op,125224400
70,pe,124926400
71,en,125360700
72, ,0
73,si,63727500
74,in,123353900
75,ng,123976800
76, ,0
77,li,62483700
78,is,251226400
79,st,185786000
80, ,0
81,se,62242500
82,ee,244961000
83,em,124524700
84, ,0
85,sh,248490000
86,he,124504600
87,el,188952700
88,ll,124286500
89, ,0
90,mi,123837400
91,id,124116800
92,dd,124434200
93,dl,126215100
94,le,62256000
95, ,0
96,mo,62039100
97,or,124202000
98,rn,187364600
99,ni,124249600
100,in,124525500
101,ng,61857800
102, ,0
103,di,125224300
104,ic,124766300
105,ct,187035800
106,ti,61661100
107,io,62874200
108,on,61378400
109,na,186295200
110,ar,124538900
111,ry,186531100
112, ,0
113,gr,185583600
114,re,62818400
115,ew,123448800
116, ,0
117,va,294100
118,al,123709700
119,ll,124348100
120,le,747531900
121,ey,123522800
122, ,0
123,tr,187756900
124,ra,622183600
125,ad,124016600
126,de,250006900
127, ,0
128,st,126478900
129,tr,188169100
130,ro,62210500
131,on,123844600
132,ng,123154000
133, ,0
134,hi,124960300
135,is,184861300
136,st,125246100
137,to,185308500
138,or,61844900
139,ry,186849800
140, ,0
141,se,122489800
142,en,123450500
143,nd,123666000
144, ,0
145,an,125224400
146,nd,63031200
147, ,0
148,sk,124363700
149,ky,185539900
150, ,0
151,ne,124267100
152,ea,61367400
153,ar,1055674900
154, ,0
155,vi,62543200
156,is,248493500
157,si,122858700
158,it,186549200
159, ,0
160,ma,63440400
161,ay,124940100
162, ,0
163,qu,123825500
164,ui,127243600
165,ic,622469200
166,ck,123222000
167, ,0
168,mu,186414600
169,ul,63506000
170,lt,185629600
171,ti,69091900
172,ip,244670100
173,pl,123093100
174,ly,187044300
175, ,0
176,sp,62516900
177,pe,126559700
178,ea,61607200
179,ak,186514200
180, ,0
181,co,126175400
182,or,123115200
183,rn,122604100
184, ,0
185,so,59780200
186,of,179842700
187,ft,243773800
188, ,0
189,pi,62027600
190,it,250930500
191,tc,495915400
192,ch,371799700
193, ,0
194,se,125389400
195,el,125977800
196,ll,124249300
197, ,0
198,po,62101000
199,os,185022100
200,ss,123990500
201,si,124310400
202,ib,187543500
203,bl,681973600
204,le,687099800
205, ,0
206,ke,126337100
207,ey,122726800
208, ,0
209,ge,62444900
210,en,125924400
211,ne,122456300
212,er,185617900
213,ra,124318200
214,al,125670700
215, ,0
216,te,124021800
217,ea,63659600
218,ac,247538800
219,ch,61799000
220, ,0
221,ch,183741400
222,hi,186314300
223,il,124388500
224,ld,248032300
225, ,0
226,co,62653700
227,ou,62435800
228,ul,187424900
229,ld,124218500
230, ,0
231,pa,61589000
232,as,62528900
233,ss,186371200
234, ,0
235,jo,123440500
236,oi,62981500
237,in,247629600
238, ,0
239,co,61459500
240,ol,186593800
241,ll,123369700
242,le,123065100
243,ec,249092500
244,ct,249098000
245, ,0
246,th,123639200
247,he,125210100
248,es,62255000
249,se,125560600
250, ,0
251,dr,184851000
252,ro,123757900
253,op,185409400
254, ,0
255,ho,123473300
256,om,311615800
257,me,248871000
258, ,0
259,st,186582800
260,tr,185130300
261,re,62797600
262,et,747717100
263,tc,311956400
264,ch,124831300
265, ,0
266,la,124088800
267,an,123382900
268,nd,124840300
269, ,0
270,to,61880000
271,oo,186119800
272,ok,124959300
273, ,0
274,so,123735200
275,ou,63159500
276,un,187342100
277,nd,124499800
278, ,0
279,mo,61273700
280,ov,185628600
281,ve,124612200
282, ,0
283,ro,125904700
284,ow,62507200
285, ,0
286,pr,123968500
287,re,62077400
288,es,249888600
289,se,63495300
290,en,123110900
291,nt,124334700
292, ,0
293,wi,62213300
294,ir,493922600
295,re,494639400
296, ,0
297,bo,62938500
298,or,187446000
299,rn,188179500
300, ,0
301,ch,125567800
302,ha,246560600
303,an,122945100
304,nc,365934400
305,ce,184591300
306, ,0
307,st,185657800
308,ti,124445800
309,il,124014200
310,ll,124454300
311, ,0
312,tr,186539400
313,ru,125014200
314,uc,186126800
315,ck,124161400
316, ,0
317,ea,62090500
318,as,125029400
319,st,186506000
320, ,0
321,sh,125006300
322,ha,123189000
323,ar,61636600
324,rp,189453300
325, ,0
326,mi,62519700
327,ix,125272800
328, ,0
329,we,62429200
330,en,122940600
331,nt,187927600
332, ,0
333,ch,184219700
334,hi,63071500
335,il,123532900
336,ld,249602300
337,dr,249657400
338,re,63217600
339,en,184958100
340, ,0
341,ar,124991300
342,re,124873000
343,ea,126240100
344, ,0
345,st,123372400
346,to,125062000
347,or,124864700
348,ry,124460500
349, ,0
350,pa,186949800
351,ar,123928700
352,ra,185377000
353,ag,620324100
354,gr,187185300
355,ra,124054400
356,ap,250105900
357,ph,186752600
358, ,0
359,fa,124694300
360,as,186246500
361,st,187110300
362, ,0
363,ga,433268500
364,ar,186375200
365,rd,558529700
366,de,188097100
367,en,62393400
368, ,0
369,vo,188255500
370,oi,61345000
371,ic,496198800
372,ce,310408000
373, ,0
374,la,124034400
375,as,64039400
376,st,250606100
377, ,0
378,ro,125657900
379,oc,185638200
380,ck,123798500
381, ,0
382,sh,62645900
383,hi,186976900
384,ip,188506200
385, ,0
386,ru,62296000
387,ul,122611200
388,le,249149600
389, ,0
390,wo,867970400
391,or,124950300
392,rl,557623100
393,ld,248397300
394, ,0
395,ra,125716300
396,ai,123447200
397,in,61767000
398, ,0
399,so,124838900
400,om,123413300
401,me,309817400
402, ,0
403,ta,123939600
404,al,62428200
405,lk,124255200
406, ,0
407,sh,61677900
408,ho,62145600
409,or,249678200
410,rt,247984300
411, ,0
412,na,62415700
413,at,186572300
414,ti,63140100
415,io,60588400
416,on,62211000
417, ,0
418,si,124289400
419,iz,310017600
420,ze,186802200
421, ,0
422,ex,189820000
423,xp,253997400
424,pe,128003800
425,er,308889300
426,ri,123849000
427,ie,186662400
428,en,186303900
429,nc,248314200
430,ce,247215500
431, ,0
432,su,186544600
433,ub,183521400
434,bj,372296900
435,je,250386200
436,ec,186808300
437,ct,249099600
438, ,0
439,si,185010600
440,im,124097800
441,mi,123546100
442,il,127387400
443,la,186320100
444,ar,61180700
445, ,0
446,or,62967600
447,ri,188380700
448,ig,125045200
449,gi,126079500
450,in,123207200
451,na,126362900
452,al,123589200
453, ,0
454,th,61930900
455,he,124950300
456, ,0
457,bu,373322400
458,uy,371697200
459, ,0
460,fe,61584200
461,ea,61898000
462,ar,124281800
463, ,0
464,cl,125540000
465,lo,123695400
466,oc,250753000
467,ck,124506900
468, ,0
469,fu,123718300
470,ul,310629200
471,ll,125525900
472, ,0
473,pe,123444800
474,er,63234200
475,rs,249334600
476,so,125105900
477,on,125292700
478, ,0
479,fi,123301300
480,ie,124381600
481,el,61515900
482,ld,186997600
483, ,0
484,ca,123654000
485,au,307472700
486,ug,558961000
487,gh,124747300
488,ht,126972300
489, ,0
490,ca,124662000
491,al,62695000
492,ll,124136700
493, ,0
494,ev,187152600
495,ve,62329600
496,er,125965100
497, ,0
498,gr,187321900
499,ra,124393600
500,ay,186291600
501, ,0
502,wi,61813800
503,it,125884700
504,th,126334200
505, ,0
